# Actuation disk source
# Time              # Uref              # Cp                # Ct                # a                 # T                 # diskDir           
25                  (1.008750884331e+01 3.822475189875e-02 -3.731848411191e-02)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.412800519836e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
26                  (1.009261406741e+01 3.834550420163e-02 -4.156385145322e-02)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.419293117510e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
27                  (1.009934493686e+01 4.007891943847e-02 -4.470305042736e-02)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.427858159503e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
28                  (1.010676411098e+01 4.270485857878e-02 -4.651624006240e-02)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.437305686254e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
29                  (1.011388545759e+01 4.506205595158e-02 -4.774498641645e-02)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.446380487057e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
30                  (1.012039026651e+01 4.635560438423e-02 -4.947346082792e-02)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.454675213748e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
31                  (1.012682999465e+01 4.677030278452e-02 -5.214618572187e-02)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.462892204808e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
32                  (1.013393173580e+01 4.709454216457e-02 -5.545119032076e-02)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.471959974523e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
33                  (1.014210284448e+01 4.801977761241e-02 -5.869913687220e-02)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.482401017504e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
34                  (1.015117174334e+01 4.964223373583e-02 -6.141844768932e-02)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.493999109899e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
