# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 6.94400000e+01
# lRef          : 9.00000000e-01
# Aref          : 1.00000000e-01
# CofR          : (7.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
3800            	1.20515493e-01	6.02577464e-02	6.02577464e-02	7.20491271e-01	2.94002898e-01	4.26488373e-01	-6.62427377e-02	-1.05984598e-22	-2.58579148e-23	2.04109785e-21	9.94691011e-22	1.04640684e-21
3900            	1.20517017e-01	6.02585083e-02	6.02585083e-02	7.20675311e-01	2.94078085e-01	4.26597226e-01	-6.62595707e-02	-1.05987261e-22	-2.58520708e-23	2.04118922e-21	9.94742540e-22	1.04644668e-21
4000            	1.20518441e-01	6.02592207e-02	6.02592207e-02	7.20853910e-01	2.94151815e-01	4.26702095e-01	-6.62751396e-02	-1.05989846e-22	-2.58464622e-23	2.04127796e-21	9.94792515e-22	1.04648544e-21
4100            	1.20519774e-01	6.02598872e-02	6.02598872e-02	7.21027403e-01	2.94224154e-01	4.26803250e-01	-6.62895481e-02	-1.05992355e-22	-2.58410727e-23	2.04136420e-21	9.94841029e-22	1.04652317e-21
4200            	1.20521022e-01	6.02605111e-02	6.02605111e-02	7.21196108e-01	2.94295164e-01	4.26900944e-01	-6.63028900e-02	-1.05994795e-22	-2.58358882e-23	2.04144811e-21	9.94888166e-22	1.04655994e-21
4300            	1.20522191e-01	6.02610956e-02	6.02610956e-02	7.21360258e-01	2.94364879e-01	4.26995379e-01	-6.63152498e-02	-1.05997167e-22	-2.58308961e-23	2.04152978e-21	9.94933993e-22	1.04659579e-21
4400            	1.20523286e-01	6.02616432e-02	6.02616432e-02	7.21520108e-01	2.94433348e-01	4.27086760e-01	-6.63267057e-02	-1.05999476e-22	-2.58260839e-23	2.04160933e-21	9.94978582e-22	1.04663075e-21
4500            	1.20524313e-01	6.02621567e-02	6.02621567e-02	7.21675952e-01	2.94500648e-01	4.27175304e-01	-6.63373278e-02	-1.06001725e-22	-2.58214395e-23	2.04168690e-21	9.95022013e-22	1.04666489e-21
4600            	1.20525277e-01	6.02626383e-02	6.02626383e-02	7.21827920e-01	2.94566779e-01	4.27261141e-01	-6.63471809e-02	-1.06003917e-22	-2.58169542e-23	2.04176256e-21	9.95064325e-22	1.04669823e-21
4700            	1.20526180e-01	6.02630902e-02	6.02630902e-02	7.21976300e-01	2.94631827e-01	4.27344474e-01	-6.63563235e-02	-1.06006055e-22	-2.58126167e-23	2.04183643e-21	9.95105596e-22	1.04673083e-21
4800            	1.20527029e-01	6.02635145e-02	6.02635145e-02	7.22121296e-01	2.94695838e-01	4.27425458e-01	-6.63648102e-02	-1.06008142e-22	-2.58084174e-23	2.04190861e-21	9.95145887e-22	1.04676272e-21
4900            	1.20527826e-01	6.02639128e-02	6.02639128e-02	7.22263087e-01	2.94758854e-01	4.27504234e-01	-6.63726900e-02	-1.06010181e-22	-2.58043484e-23	2.04197919e-21	9.95185246e-22	1.04679394e-21
5000            	1.20528574e-01	6.02642870e-02	6.02642870e-02	7.22401833e-01	2.94820909e-01	4.27580925e-01	-6.63800081e-02	-1.06012174e-22	-2.58004017e-23	2.04204824e-21	9.95223720e-22	1.04682452e-21
5100            	1.20529277e-01	6.02646385e-02	6.02646385e-02	7.22537690e-01	2.94882038e-01	4.27655651e-01	-6.63868066e-02	-1.06014124e-22	-2.57965699e-23	2.04211585e-21	9.95261355e-22	1.04685450e-21
5200            	1.20529938e-01	6.02649689e-02	6.02649689e-02	7.22670309e-01	2.94942029e-01	4.27728280e-01	-6.63931255e-02	-1.06016024e-22	-2.57928441e-23	2.04218190e-21	9.95298108e-22	1.04688380e-21
5300            	1.20530561e-01	6.02652806e-02	6.02652806e-02	7.22800107e-01	2.95001043e-01	4.27799064e-01	-6.63990105e-02	-1.06017884e-22	-2.57892608e-23	2.04224634e-21	9.95333907e-22	1.04691243e-21
5400            	1.20531146e-01	6.02655730e-02	6.02655730e-02	7.22927364e-01	2.95059210e-01	4.27868154e-01	-6.64044723e-02	-1.06019703e-22	-2.57857425e-23	2.04230967e-21	9.95369092e-22	1.04694058e-21
5500            	1.20531696e-01	6.02658478e-02	6.02658478e-02	7.23052886e-01	2.95116901e-01	4.27935985e-01	-6.64095418e-02	-1.06021497e-22	-2.57823147e-23	2.04237206e-21	9.95403716e-22	1.04696835e-21
5600            	1.20532213e-01	6.02661066e-02	6.02661066e-02	7.23176204e-01	2.95173848e-01	4.28002356e-01	-6.64142537e-02	-1.06023256e-22	-2.57789704e-23	2.04243335e-21	9.95437703e-22	1.04699564e-21
5700            	1.20532700e-01	6.02663501e-02	6.02663501e-02	7.23297346e-01	2.95230038e-01	4.28067307e-01	-6.64186345e-02	-1.06024983e-22	-2.57757077e-23	2.04249353e-21	9.95471057e-22	1.04702247e-21
5800            	1.20533159e-01	6.02665795e-02	6.02665795e-02	7.23416404e-01	2.95285495e-01	4.28130909e-01	-6.64227071e-02	-1.06026678e-22	-2.57725227e-23	2.04255266e-21	9.95503806e-22	1.04704885e-21
5900            	1.20533591e-01	6.02667955e-02	6.02667955e-02	7.23533465e-01	2.95340239e-01	4.28193226e-01	-6.64264934e-02	-1.06028343e-22	-2.57694113e-23	2.04261077e-21	9.95535975e-22	1.04707480e-21
6000            	1.20533998e-01	6.02669990e-02	6.02669990e-02	7.23648598e-01	2.95394285e-01	4.28254312e-01	-6.64300135e-02	-1.06029978e-22	-2.57663703e-23	2.04266791e-21	9.95567584e-22	1.04710032e-21
6100            	1.20534382e-01	6.02671908e-02	6.02671908e-02	7.23761830e-01	2.95447629e-01	4.28314201e-01	-6.64332858e-02	-1.06031585e-22	-2.57633975e-23	2.04272408e-21	9.95598643e-22	1.04712544e-21
