# Region type : functionObjectSurface sampled.plane1
# Faces       : 986
# Area        : 3.081250e-03
# Scale factor: 1.000000e+00
# Weight field: rhoU
# Time        	weightedAreaAverage(p)	weightedAreaAverage(pTotal)
236           	3.737110e+01	1.091821e+02
237           	3.744336e+01	1.092722e+02
238           	3.748402e+01	1.093233e+02
239           	3.752262e+01	1.093712e+02
240           	3.754172e+01	1.093954e+02
241           	3.759725e+01	1.094645e+02
242           	3.769048e+01	1.095813e+02
243           	3.771386e+01	1.096103e+02
244           	3.773045e+01	1.096312e+02
245           	3.775731e+01	1.096646e+02
246           	3.779414e+01	1.097109e+02
247           	3.784181e+01	1.097702e+02
248           	3.786233e+01	1.097961e+02
249           	3.788881e+01	1.098290e+02
250           	3.788913e+01	1.098296e+02
251           	3.790102e+01	1.098443e+02
252           	3.789791e+01	1.098406e+02
253           	3.790755e+01	1.098525e+02
254           	3.790340e+01	1.098475e+02
255           	3.790842e+01	1.098535e+02
256           	3.789613e+01	1.098384e+02
257           	3.790005e+01	1.098431e+02
258           	3.789571e+01	1.098379e+02
259           	3.789703e+01	1.098393e+02
260           	3.788859e+01	1.098290e+02
261           	3.789273e+01	1.098339e+02
262           	3.788914e+01	1.098297e+02
263           	3.789577e+01	1.098377e+02
264           	3.789435e+01	1.098362e+02
265           	3.790021e+01	1.098433e+02
266           	3.789796e+01	1.098407e+02
267           	3.790644e+01	1.098511e+02
268           	3.790783e+01	1.098530e+02
269           	3.792141e+01	1.098698e+02
270           	3.793253e+01	1.098839e+02
271           	3.796088e+01	1.099191e+02
272           	3.797950e+01	1.099426e+02
273           	3.801568e+01	1.099876e+02
274           	3.803481e+01	1.100117e+02
275           	3.806833e+01	1.100535e+02
276           	3.807965e+01	1.100678e+02
277           	3.810713e+01	1.101020e+02
278           	3.811818e+01	1.101160e+02
279           	3.813652e+01	1.101387e+02
280           	3.814120e+01	1.101447e+02
281           	3.815812e+01	1.101657e+02
282           	3.815908e+01	1.101671e+02
283           	3.816996e+01	1.101805e+02
284           	3.817084e+01	1.101818e+02
285           	3.817794e+01	1.101905e+02
286           	3.817564e+01	1.101878e+02
287           	3.818258e+01	1.101963e+02
288           	3.817566e+01	1.101878e+02
289           	3.817565e+01	1.101876e+02
290           	3.815123e+01	1.101573e+02
291           	3.814416e+01	1.101482e+02
292           	3.812046e+01	1.101188e+02
293           	3.810438e+01	1.100985e+02
294           	3.808678e+01	1.100767e+02
295           	3.808294e+01	1.100718e+02
296           	3.807571e+01	1.100629e+02
297           	3.807699e+01	1.100643e+02
298           	3.807576e+01	1.100629e+02
299           	3.808599e+01	1.100756e+02
300           	3.809082e+01	1.100817e+02
301           	3.810971e+01	1.101052e+02
302           	3.813075e+01	1.101317e+02
303           	3.815640e+01	1.101636e+02
304           	3.816939e+01	1.101799e+02
305           	3.818488e+01	1.101992e+02
306           	3.819356e+01	1.102102e+02
307           	3.820665e+01	1.102264e+02
308           	3.821736e+01	1.102399e+02
309           	3.823918e+01	1.102670e+02
310           	3.824530e+01	1.102748e+02
311           	3.825736e+01	1.102898e+02
312           	3.825965e+01	1.102928e+02
313           	3.827504e+01	1.103119e+02
314           	3.828212e+01	1.103209e+02
315           	3.829018e+01	1.103308e+02
316           	3.829308e+01	1.103346e+02
317           	3.830071e+01	1.103440e+02
318           	3.830460e+01	1.103490e+02
319           	3.831584e+01	1.103629e+02
320           	3.831934e+01	1.103674e+02
321           	3.833217e+01	1.103833e+02
322           	3.834226e+01	1.103961e+02
323           	3.836131e+01	1.104197e+02
324           	3.837275e+01	1.104341e+02
325           	3.839761e+01	1.104651e+02
326           	3.841008e+01	1.104808e+02
327           	3.843518e+01	1.105120e+02
328           	3.844045e+01	1.105188e+02
329           	3.845469e+01	1.105365e+02
330           	3.845885e+01	1.105418e+02
331           	3.847349e+01	1.105599e+02
332           	3.847711e+01	1.105646e+02
333           	3.848546e+01	1.105749e+02
334           	3.848449e+01	1.105738e+02
335           	3.849071e+01	1.105815e+02
336           	3.849181e+01	1.105830e+02
337           	3.850686e+01	1.106016e+02
338           	3.851257e+01	1.106089e+02
339           	3.853175e+01	1.106328e+02
340           	3.853923e+01	1.106422e+02
341           	3.855536e+01	1.106623e+02
342           	3.856642e+01	1.106762e+02
343           	3.858835e+01	1.107035e+02
344           	3.859757e+01	1.107152e+02
345           	3.861035e+01	1.107310e+02
346           	3.861589e+01	1.107381e+02
347           	3.862301e+01	1.107469e+02
348           	3.862299e+01	1.107469e+02
349           	3.862879e+01	1.107541e+02
350           	3.862766e+01	1.107528e+02
351           	3.863382e+01	1.107604e+02
352           	3.862875e+01	1.107542e+02
353           	3.863006e+01	1.107557e+02
354           	3.862662e+01	1.107515e+02
355           	3.863007e+01	1.107557e+02
356           	3.862715e+01	1.107521e+02
357           	3.863014e+01	1.107558e+02
358           	3.862591e+01	1.107506e+02
359           	3.862925e+01	1.107547e+02
360           	3.862526e+01	1.107498e+02
361           	3.862747e+01	1.107524e+02
362           	3.862003e+01	1.107432e+02
363           	3.861721e+01	1.107396e+02
364           	3.860214e+01	1.107208e+02
365           	3.859566e+01	1.107126e+02
366           	3.858031e+01	1.106936e+02
367           	3.857493e+01	1.106867e+02
368           	3.856065e+01	1.106690e+02
369           	3.855556e+01	1.106626e+02
370           	3.854359e+01	1.106477e+02
371           	3.854051e+01	1.106438e+02
372           	3.853179e+01	1.106329e+02
373           	3.853081e+01	1.106316e+02
374           	3.852341e+01	1.106225e+02
375           	3.852280e+01	1.106216e+02
376           	3.851384e+01	1.106105e+02
377           	3.851235e+01	1.106085e+02
378           	3.850239e+01	1.105962e+02
379           	3.850064e+01	1.105939e+02
380           	3.849160e+01	1.105827e+02
381           	3.849048e+01	1.105812e+02
382           	3.848385e+01	1.105730e+02
383           	3.848364e+01	1.105727e+02
384           	3.847868e+01	1.105666e+02
385           	3.847929e+01	1.105672e+02
386           	3.847540e+01	1.105625e+02
387           	3.847687e+01	1.105642e+02
388           	3.847393e+01	1.105606e+02
389           	3.847597e+01	1.105631e+02
390           	3.847367e+01	1.105603e+02
391           	3.847613e+01	1.105633e+02
392           	3.847418e+01	1.105609e+02
393           	3.847696e+01	1.105643e+02
394           	3.847511e+01	1.105621e+02
395           	3.847777e+01	1.105653e+02
396           	3.847580e+01	1.105630e+02
397           	3.847814e+01	1.105658e+02
398           	3.847544e+01	1.105625e+02
399           	3.847720e+01	1.105646e+02
400           	3.847361e+01	1.105602e+02
401           	3.847459e+01	1.105614e+02
402           	3.846978e+01	1.105554e+02
403           	3.847017e+01	1.105558e+02
404           	3.846478e+01	1.105492e+02
405           	3.846494e+01	1.105493e+02
406           	3.845957e+01	1.105427e+02
407           	3.845990e+01	1.105430e+02
408           	3.845501e+01	1.105370e+02
409           	3.845583e+01	1.105379e+02
410           	3.845181e+01	1.105330e+02
411           	3.845310e+01	1.105345e+02
412           	3.844992e+01	1.105306e+02
413           	3.845166e+01	1.105327e+02
414           	3.844892e+01	1.105294e+02
415           	3.845104e+01	1.105319e+02
416           	3.844859e+01	1.105289e+02
417           	3.845069e+01	1.105315e+02
418           	3.844771e+01	1.105278e+02
419           	3.844935e+01	1.105298e+02
420           	3.844512e+01	1.105246e+02
421           	3.844580e+01	1.105254e+02
422           	3.843981e+01	1.105180e+02
423           	3.843979e+01	1.105179e+02
424           	3.843327e+01	1.105098e+02
425           	3.843304e+01	1.105094e+02
426           	3.842686e+01	1.105018e+02
427           	3.842704e+01	1.105019e+02
428           	3.842195e+01	1.104956e+02
429           	3.842277e+01	1.104966e+02
430           	3.841878e+01	1.104917e+02
431           	3.842028e+01	1.104935e+02
432           	3.841735e+01	1.104899e+02
433           	3.841928e+01	1.104922e+02
434           	3.841690e+01	1.104893e+02
435           	3.841926e+01	1.104922e+02
436           	3.841722e+01	1.104897e+02
437           	3.841972e+01	1.104928e+02
438           	3.841761e+01	1.104902e+02
439           	3.842001e+01	1.104931e+02
440           	3.841770e+01	1.104903e+02
441           	3.841981e+01	1.104929e+02
442           	3.841693e+01	1.104894e+02
443           	3.841867e+01	1.104914e+02
444           	3.841535e+01	1.104874e+02
445           	3.841669e+01	1.104890e+02
446           	3.841287e+01	1.104843e+02
447           	3.841400e+01	1.104856e+02
448           	3.841002e+01	1.104807e+02
449           	3.841118e+01	1.104821e+02
450           	3.840727e+01	1.104773e+02
451           	3.840854e+01	1.104788e+02
452           	3.840513e+01	1.104746e+02
453           	3.840659e+01	1.104764e+02
454           	3.840352e+01	1.104726e+02
455           	3.840533e+01	1.104748e+02
456           	3.840263e+01	1.104715e+02
457           	3.840466e+01	1.104739e+02
458           	3.840224e+01	1.104710e+02
459           	3.840440e+01	1.104736e+02
460           	3.840218e+01	1.104709e+02
461           	3.840446e+01	1.104737e+02
462           	3.840215e+01	1.104709e+02
463           	3.840451e+01	1.104738e+02
464           	3.840232e+01	1.104711e+02
465           	3.840455e+01	1.104738e+02
466           	3.840226e+01	1.104710e+02
467           	3.840451e+01	1.104738e+02
468           	3.840218e+01	1.104709e+02
469           	3.840430e+01	1.104735e+02
470           	3.840185e+01	1.104705e+02
471           	3.840392e+01	1.104730e+02
472           	3.840151e+01	1.104701e+02
473           	3.840353e+01	1.104725e+02
474           	3.840096e+01	1.104694e+02
475           	3.840299e+01	1.104719e+02
476           	3.840052e+01	1.104689e+02
477           	3.840256e+01	1.104713e+02
478           	3.839996e+01	1.104682e+02
479           	3.840203e+01	1.104707e+02
480           	3.839965e+01	1.104678e+02
481           	3.840172e+01	1.104703e+02
482           	3.839926e+01	1.104673e+02
483           	3.840144e+01	1.104699e+02
484           	3.839913e+01	1.104671e+02
485           	3.840135e+01	1.104698e+02
486           	3.839902e+01	1.104670e+02
487           	3.840132e+01	1.104698e+02
488           	3.839920e+01	1.104672e+02
489           	3.840149e+01	1.104700e+02
490           	3.839930e+01	1.104673e+02
491           	3.840165e+01	1.104702e+02
492           	3.839957e+01	1.104677e+02
493           	3.840193e+01	1.104705e+02
494           	3.839972e+01	1.104679e+02
495           	3.840207e+01	1.104707e+02
496           	3.839991e+01	1.104681e+02
497           	3.840222e+01	1.104709e+02
498           	3.839995e+01	1.104682e+02
499           	3.840221e+01	1.104709e+02
500           	3.840001e+01	1.104682e+02
