# Region type : functionObjectSurface sampled.plane1
# Faces       : 986
# Area        : 3.081250e-03
# Scale factor: 1.000000e+00
# Weight field: rhoU
# Time        	weightedAreaIntegrate(p)	weightedAreaIntegrate(pTotal)
371           	-1.483858e+00	-4.259923e+00
372           	-1.483523e+00	-4.259510e+00
373           	-1.483484e+00	-4.259455e+00
374           	-1.483200e+00	-4.259105e+00
375           	-1.483176e+00	-4.259068e+00
376           	-1.482832e+00	-4.258645e+00
377           	-1.482773e+00	-4.258565e+00
378           	-1.482391e+00	-4.258094e+00
379           	-1.482323e+00	-4.258002e+00
380           	-1.481976e+00	-4.257575e+00
381           	-1.481932e+00	-4.257514e+00
382           	-1.481677e+00	-4.257202e+00
383           	-1.481668e+00	-4.257185e+00
384           	-1.481478e+00	-4.256954e+00
385           	-1.481501e+00	-4.256977e+00
386           	-1.481352e+00	-4.256796e+00
387           	-1.481407e+00	-4.256860e+00
388           	-1.481295e+00	-4.256725e+00
389           	-1.481373e+00	-4.256817e+00
390           	-1.481285e+00	-4.256713e+00
391           	-1.481379e+00	-4.256825e+00
392           	-1.481305e+00	-4.256737e+00
393           	-1.481411e+00	-4.256864e+00
394           	-1.481341e+00	-4.256782e+00
395           	-1.481442e+00	-4.256903e+00
396           	-1.481368e+00	-4.256815e+00
397           	-1.481456e+00	-4.256921e+00
398           	-1.481354e+00	-4.256798e+00
399           	-1.481420e+00	-4.256876e+00
400           	-1.481283e+00	-4.256710e+00
401           	-1.481320e+00	-4.256751e+00
402           	-1.481136e+00	-4.256526e+00
403           	-1.481150e+00	-4.256538e+00
404           	-1.480943e+00	-4.256285e+00
405           	-1.480948e+00	-4.256286e+00
406           	-1.480743e+00	-4.256035e+00
407           	-1.480754e+00	-4.256044e+00
408           	-1.480567e+00	-4.255815e+00
409           	-1.480598e+00	-4.255848e+00
410           	-1.480444e+00	-4.255661e+00
411           	-1.480493e+00	-4.255717e+00
412           	-1.480371e+00	-4.255570e+00
413           	-1.480437e+00	-4.255647e+00
414           	-1.480333e+00	-4.255522e+00
415           	-1.480413e+00	-4.255617e+00
416           	-1.480320e+00	-4.255506e+00
417           	-1.480400e+00	-4.255600e+00
418           	-1.480286e+00	-4.255464e+00
419           	-1.480348e+00	-4.255535e+00
420           	-1.480186e+00	-4.255339e+00
421           	-1.480212e+00	-4.255365e+00
422           	-1.479982e+00	-4.255084e+00
423           	-1.479980e+00	-4.255076e+00
424           	-1.479730e+00	-4.254769e+00
425           	-1.479720e+00	-4.254751e+00
426           	-1.479483e+00	-4.254461e+00
427           	-1.479489e+00	-4.254462e+00
428           	-1.479294e+00	-4.254224e+00
429           	-1.479325e+00	-4.254257e+00
430           	-1.479172e+00	-4.254072e+00
431           	-1.479229e+00	-4.254137e+00
432           	-1.479117e+00	-4.254003e+00
433           	-1.479190e+00	-4.254089e+00
434           	-1.479100e+00	-4.253981e+00
435           	-1.479190e+00	-4.254088e+00
436           	-1.479112e+00	-4.253996e+00
437           	-1.479207e+00	-4.254110e+00
438           	-1.479127e+00	-4.254015e+00
439           	-1.479218e+00	-4.254123e+00
440           	-1.479131e+00	-4.254019e+00
441           	-1.479211e+00	-4.254114e+00
442           	-1.479101e+00	-4.253982e+00
443           	-1.479167e+00	-4.254059e+00
444           	-1.479040e+00	-4.253906e+00
445           	-1.479091e+00	-4.253964e+00
446           	-1.478945e+00	-4.253787e+00
447           	-1.478987e+00	-4.253835e+00
448           	-1.478835e+00	-4.253650e+00
449           	-1.478878e+00	-4.253699e+00
