# Region type : functionObjectSurface sampled.plane2
# Faces       : 1600
# Area        : 5.000000e-03
# Scale factor: 1.000000e+00
# Time        	uniformity(U)	uniformity(p)
271           	8.266192e-01	5.370773e-01
272           	8.266143e-01	5.335970e-01
273           	8.266102e-01	5.298526e-01
274           	8.266062e-01	5.263435e-01
275           	8.266030e-01	5.228718e-01
276           	8.265998e-01	5.207274e-01
277           	8.265973e-01	5.179632e-01
278           	8.265945e-01	5.156806e-01
279           	8.265922e-01	5.137876e-01
280           	8.265898e-01	5.124628e-01
281           	8.265877e-01	5.108559e-01
282           	8.265853e-01	5.100407e-01
283           	8.265834e-01	5.089652e-01
284           	8.265814e-01	5.081583e-01
285           	8.265797e-01	5.077622e-01
286           	8.265779e-01	5.074444e-01
287           	8.265763e-01	5.072371e-01
288           	8.265746e-01	5.075071e-01
289           	8.265733e-01	5.085159e-01
290           	8.265720e-01	5.109614e-01
291           	8.265713e-01	5.131965e-01
292           	8.265703e-01	5.156797e-01
293           	8.265697e-01	5.189734e-01
294           	8.265687e-01	5.206571e-01
295           	8.265680e-01	5.216034e-01
296           	8.265670e-01	5.219606e-01
297           	8.265663e-01	5.223288e-01
298           	8.265652e-01	5.219044e-01
299           	8.265643e-01	5.210493e-01
300           	8.265630e-01	5.195346e-01
301           	8.265621e-01	5.176199e-01
302           	8.265611e-01	5.136287e-01
303           	8.265606e-01	5.109145e-01
304           	8.265601e-01	5.084744e-01
305           	8.265601e-01	5.069717e-01
306           	8.265599e-01	5.052120e-01
307           	8.265602e-01	5.040870e-01
308           	8.265601e-01	5.018428e-01
309           	8.265603e-01	4.997160e-01
310           	8.265600e-01	4.978601e-01
311           	8.265599e-01	4.963969e-01
312           	8.265595e-01	4.952171e-01
313           	8.265595e-01	4.935063e-01
314           	8.265591e-01	4.915609e-01
315           	8.265591e-01	4.908046e-01
316           	8.265588e-01	4.898428e-01
317           	8.265589e-01	4.892425e-01
318           	8.265587e-01	4.881275e-01
319           	8.265589e-01	4.871852e-01
320           	8.265587e-01	4.860659e-01
321           	8.265589e-01	4.848472e-01
322           	8.265587e-01	4.822731e-01
323           	8.265589e-01	4.799631e-01
324           	8.265587e-01	4.770921e-01
325           	8.265588e-01	4.741469e-01
326           	8.265587e-01	4.708026e-01
327           	8.265589e-01	4.675031e-01
328           	8.265588e-01	4.657698e-01
329           	8.265590e-01	4.639998e-01
330           	8.265590e-01	4.624826e-01
331           	8.265592e-01	4.608525e-01
332           	8.265592e-01	4.595138e-01
333           	8.265595e-01	4.585200e-01
334           	8.265594e-01	4.580751e-01
335           	8.265597e-01	4.576002e-01
336           	8.265596e-01	4.567009e-01
337           	8.265598e-01	4.552225e-01
338           	8.265597e-01	4.531750e-01
339           	8.265599e-01	4.505304e-01
340           	8.265598e-01	4.481669e-01
341           	8.265599e-01	4.459983e-01
342           	8.265597e-01	4.429833e-01
343           	8.265600e-01	4.402373e-01
344           	8.265599e-01	4.376276e-01
345           	8.265602e-01	4.359741e-01
346           	8.265602e-01	4.341950e-01
347           	8.265605e-01	4.334120e-01
348           	8.265606e-01	4.327937e-01
349           	8.265609e-01	4.323552e-01
350           	8.265609e-01	4.318242e-01
351           	8.265613e-01	4.308128e-01
352           	8.265613e-01	4.302719e-01
353           	8.265616e-01	4.297707e-01
354           	8.265616e-01	4.294291e-01
355           	8.265618e-01	4.292210e-01
356           	8.265616e-01	4.289243e-01
357           	8.265617e-01	4.289067e-01
358           	8.265615e-01	4.288582e-01
359           	8.265616e-01	4.290602e-01
360           	8.265615e-01	4.294908e-01
361           	8.265619e-01	4.305720e-01
362           	8.265620e-01	4.323565e-01
363           	8.265626e-01	4.349926e-01
364           	8.265628e-01	4.376566e-01
365           	8.265633e-01	4.403594e-01
366           	8.265634e-01	4.427915e-01
367           	8.265637e-01	4.443951e-01
368           	8.265635e-01	4.459049e-01
369           	8.265637e-01	4.467968e-01
370           	8.265634e-01	4.477318e-01
371           	8.265635e-01	4.484076e-01
372           	8.265633e-01	4.491789e-01
373           	8.265634e-01	4.498327e-01
374           	8.265632e-01	4.507155e-01
375           	8.265633e-01	4.516316e-01
376           	8.265632e-01	4.529494e-01
377           	8.265635e-01	4.541038e-01
378           	8.265635e-01	4.554980e-01
379           	8.265638e-01	4.564840e-01
380           	8.265638e-01	4.575709e-01
381           	8.265642e-01	4.582319e-01
382           	8.265641e-01	4.588293e-01
383           	8.265643e-01	4.592540e-01
384           	8.265640e-01	4.595841e-01
385           	8.265641e-01	4.598366e-01
386           	8.265637e-01	4.599849e-01
387           	8.265636e-01	4.601215e-01
388           	8.265632e-01	4.601486e-01
389           	8.265631e-01	4.602042e-01
390           	8.265626e-01	4.601591e-01
391           	8.265626e-01	4.601695e-01
392           	8.265622e-01	4.600943e-01
393           	8.265622e-01	4.600924e-01
394           	8.265619e-01	4.600127e-01
395           	8.265619e-01	4.600362e-01
396           	8.265616e-01	4.599917e-01
397           	8.265617e-01	4.600599e-01
398           	8.265615e-01	4.601033e-01
399           	8.265616e-01	4.602570e-01
400           	8.265613e-01	4.604473e-01
401           	8.265614e-01	4.607078e-01
402           	8.265611e-01	4.610443e-01
403           	8.265612e-01	4.613979e-01
404           	8.265609e-01	4.618246e-01
405           	8.265609e-01	4.621985e-01
406           	8.265606e-01	4.626129e-01
407           	8.265607e-01	4.629594e-01
408           	8.265604e-01	4.633044e-01
409           	8.265605e-01	4.635842e-01
410           	8.265603e-01	4.637880e-01
411           	8.265605e-01	4.639780e-01
412           	8.265604e-01	4.640707e-01
413           	8.265606e-01	4.641901e-01
414           	8.265606e-01	4.642090e-01
415           	8.265610e-01	4.642874e-01
416           	8.265612e-01	4.642899e-01
417           	8.265617e-01	4.643926e-01
418           	8.265621e-01	4.644839e-01
419           	8.265628e-01	4.647046e-01
420           	8.265633e-01	4.650323e-01
421           	8.265641e-01	4.654389e-01
422           	8.265647e-01	4.660297e-01
423           	8.265656e-01	4.665529e-01
424           	8.265663e-01	4.672300e-01
425           	8.265672e-01	4.677470e-01
426           	8.265677e-01	4.683376e-01
427           	8.265686e-01	4.687509e-01
428           	8.265690e-01	4.691529e-01
429           	8.265698e-01	4.694393e-01
430           	8.265700e-01	4.696502e-01
431           	8.265706e-01	4.698246e-01
432           	8.265707e-01	4.698932e-01
433           	8.265711e-01	4.699895e-01
434           	8.265711e-01	4.699718e-01
435           	8.265713e-01	4.700248e-01
436           	8.265711e-01	4.699813e-01
437           	8.265712e-01	4.700302e-01
438           	8.265709e-01	4.700028e-01
439           	8.265709e-01	4.700795e-01
440           	8.265704e-01	4.701023e-01
441           	8.265702e-01	4.702262e-01
442           	8.265696e-01	4.703169e-01
443           	8.265693e-01	4.704910e-01
444           	8.265686e-01	4.706529e-01
445           	8.265682e-01	4.708679e-01
446           	8.265673e-01	4.710764e-01
447           	8.265668e-01	4.713097e-01
448           	8.265659e-01	4.715295e-01
449           	8.265654e-01	4.717571e-01
450           	8.265645e-01	4.719469e-01
451           	8.265641e-01	4.721470e-01
452           	8.265632e-01	4.722866e-01
453           	8.265628e-01	4.724504e-01
454           	8.265621e-01	4.725315e-01
455           	8.265619e-01	4.726579e-01
456           	8.265613e-01	4.726906e-01
457           	8.265611e-01	4.727840e-01
458           	8.265607e-01	4.727762e-01
459           	8.265606e-01	4.728436e-01
460           	8.265602e-01	4.728170e-01
461           	8.265603e-01	4.728667e-01
462           	8.265600e-01	4.728288e-01
463           	8.265600e-01	4.728705e-01
464           	8.265597e-01	4.728235e-01
465           	8.265598e-01	4.728654e-01
466           	8.265595e-01	4.728219e-01
467           	8.265596e-01	4.728665e-01
468           	8.265592e-01	4.728358e-01
469           	8.265592e-01	4.728937e-01
470           	8.265589e-01	4.728723e-01
471           	8.265589e-01	4.729403e-01
472           	8.265585e-01	4.729278e-01
473           	8.265585e-01	4.730041e-01
474           	8.265581e-01	4.729968e-01
475           	8.265580e-01	4.730771e-01
476           	8.265576e-01	4.730722e-01
477           	8.265576e-01	4.731522e-01
478           	8.265572e-01	4.731445e-01
479           	8.265572e-01	4.732194e-01
480           	8.265569e-01	4.732064e-01
481           	8.265569e-01	4.732729e-01
482           	8.265566e-01	4.732512e-01
483           	8.265567e-01	4.733036e-01
484           	8.265564e-01	4.732687e-01
485           	8.265565e-01	4.733132e-01
486           	8.265564e-01	4.732660e-01
487           	8.265565e-01	4.733017e-01
488           	8.265564e-01	4.732453e-01
489           	8.265566e-01	4.732757e-01
490           	8.265566e-01	4.732126e-01
491           	8.265568e-01	4.732398e-01
492           	8.265568e-01	4.731749e-01
493           	8.265571e-01	4.732019e-01
494           	8.265570e-01	4.731378e-01
495           	8.265574e-01	4.731668e-01
496           	8.265574e-01	4.731079e-01
497           	8.265577e-01	4.731409e-01
498           	8.265577e-01	4.730884e-01
499           	8.265581e-01	4.731301e-01
500           	8.265581e-01	4.730852e-01
