# Region type : functionObjectSurface sampled.plane1
# Faces       : 986
# Area        : 3.081250e-03
# Scale factor: 1.000000e+00
# Time        	areaNormalIntegrate(rhoU)
367           	-3.850124e-02
368           	-3.850128e-02
369           	-3.850126e-02
370           	-3.850129e-02
371           	-3.850125e-02
372           	-3.850128e-02
373           	-3.850124e-02
374           	-3.850127e-02
375           	-3.850124e-02
376           	-3.850127e-02
377           	-3.850124e-02
378           	-3.850127e-02
379           	-3.850124e-02
380           	-3.850128e-02
381           	-3.850125e-02
382           	-3.850128e-02
383           	-3.850125e-02
384           	-3.850128e-02
385           	-3.850125e-02
386           	-3.850128e-02
387           	-3.850125e-02
388           	-3.850128e-02
389           	-3.850125e-02
390           	-3.850128e-02
391           	-3.850125e-02
392           	-3.850128e-02
393           	-3.850125e-02
394           	-3.850128e-02
395           	-3.850125e-02
396           	-3.850128e-02
397           	-3.850125e-02
398           	-3.850128e-02
399           	-3.850125e-02
400           	-3.850128e-02
401           	-3.850125e-02
402           	-3.850128e-02
403           	-3.850125e-02
404           	-3.850128e-02
405           	-3.850125e-02
406           	-3.850128e-02
407           	-3.850125e-02
408           	-3.850128e-02
409           	-3.850125e-02
410           	-3.850128e-02
411           	-3.850125e-02
412           	-3.850128e-02
413           	-3.850125e-02
414           	-3.850128e-02
415           	-3.850125e-02
416           	-3.850128e-02
417           	-3.850125e-02
418           	-3.850128e-02
419           	-3.850125e-02
420           	-3.850128e-02
421           	-3.850125e-02
422           	-3.850128e-02
423           	-3.850125e-02
424           	-3.850128e-02
425           	-3.850125e-02
426           	-3.850128e-02
427           	-3.850125e-02
428           	-3.850128e-02
429           	-3.850125e-02
430           	-3.850128e-02
431           	-3.850125e-02
432           	-3.850128e-02
433           	-3.850125e-02
434           	-3.850128e-02
435           	-3.850125e-02
436           	-3.850128e-02
437           	-3.850125e-02
438           	-3.850128e-02
439           	-3.850125e-02
440           	-3.850128e-02
441           	-3.850125e-02
442           	-3.850128e-02
443           	-3.850125e-02
444           	-3.850128e-02
445           	-3.850125e-02
446           	-3.850128e-02
447           	-3.850125e-02
448           	-3.850128e-02
449           	-3.850125e-02
450           	-3.850128e-02
451           	-3.850125e-02
452           	-3.850128e-02
453           	-3.850125e-02
454           	-3.850128e-02
455           	-3.850125e-02
456           	-3.850128e-02
457           	-3.850125e-02
458           	-3.850128e-02
459           	-3.850125e-02
460           	-3.850128e-02
461           	-3.850125e-02
462           	-3.850128e-02
463           	-3.850125e-02
464           	-3.850128e-02
465           	-3.850125e-02
466           	-3.850128e-02
467           	-3.850125e-02
468           	-3.850128e-02
469           	-3.850125e-02
470           	-3.850128e-02
471           	-3.850125e-02
472           	-3.850128e-02
473           	-3.850125e-02
474           	-3.850128e-02
475           	-3.850125e-02
476           	-3.850128e-02
477           	-3.850125e-02
478           	-3.850128e-02
479           	-3.850125e-02
480           	-3.850128e-02
481           	-3.850125e-02
482           	-3.850128e-02
483           	-3.850125e-02
484           	-3.850128e-02
485           	-3.850125e-02
486           	-3.850128e-02
487           	-3.850125e-02
488           	-3.850128e-02
489           	-3.850125e-02
490           	-3.850128e-02
491           	-3.850125e-02
492           	-3.850128e-02
493           	-3.850125e-02
494           	-3.850128e-02
495           	-3.850125e-02
496           	-3.850128e-02
497           	-3.850125e-02
498           	-3.850128e-02
499           	-3.850125e-02
500           	-3.850128e-02
