# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	nuTilda_solver  	nuTilda_initial 	nuTilda_final   	nuTilda_iters   	nuTilda_converged	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
65              	DILUPBiCGStab	4.71641540e-04	4.17012610e-09	5	3.48480810e-03	3.24399390e-09	7	false	DILUPBiCGStab	2.16894890e-03	3.53184060e-09	3	true	GAMG	3.26952850e-03	3.15450800e-04	2	true
66              	DILUPBiCGStab	4.71861850e-04	3.18252210e-09	5	3.43606090e-03	1.95779880e-09	7	false	DILUPBiCGStab	2.15967280e-03	3.17682140e-09	3	true	GAMG	3.52390540e-03	2.93960030e-04	2	true
67              	DILUPBiCGStab	4.66083360e-04	8.34959610e-09	5	3.36259050e-03	1.90680000e-09	7	false	DILUPBiCGStab	2.14286310e-03	2.81448750e-09	3	true	GAMG	3.24278920e-03	2.92665960e-04	2	true
68              	DILUPBiCGStab	4.61429920e-04	6.45427110e-09	5	3.27495730e-03	3.22241670e-09	7	false	DILUPBiCGStab	2.13261670e-03	2.51834130e-09	3	true	GAMG	2.99975380e-03	2.90457400e-04	2	true
69              	DILUPBiCGStab	4.50807240e-04	9.86536410e-09	4	3.17948980e-03	5.59206670e-09	6	false	DILUPBiCGStab	2.11603660e-03	2.26792150e-09	3	true	GAMG	2.84426930e-03	2.83249220e-04	2	true
70              	DILUPBiCGStab	4.43572170e-04	8.67679140e-09	4	3.10718650e-03	9.57664430e-11	8	false	DILUPBiCGStab	2.10600560e-03	2.10108940e-09	3	true	GAMG	2.65080110e-03	1.31267780e-04	3	true
71              	DILUPBiCGStab	4.38277940e-04	8.72264690e-09	4	3.13779330e-03	7.13623580e-09	7	false	DILUPBiCGStab	2.09200620e-03	1.86354250e-09	3	true	GAMG	2.69537120e-03	2.10763930e-04	2	true
72              	DILUPBiCGStab	4.23084540e-04	9.13533040e-09	4	2.94268620e-03	3.17267350e-09	7	false	DILUPBiCGStab	2.08487610e-03	1.63397950e-09	3	true	GAMG	3.01019240e-03	2.28921080e-04	2	true
73              	DILUPBiCGStab	4.17410880e-04	8.87811320e-09	4	2.95369540e-03	3.94024240e-09	7	false	DILUPBiCGStab	2.07307180e-03	1.36335030e-09	3	true	GAMG	2.49066520e-03	2.22135930e-04	2	true
74              	DILUPBiCGStab	4.17131030e-04	8.38629220e-09	4	2.96317330e-03	2.27798200e-09	7	false	DILUPBiCGStab	2.06927160e-03	1.04477250e-09	3	true	GAMG	2.53858250e-03	2.18737350e-04	2	true
75              	DILUPBiCGStab	4.12349430e-04	7.87680560e-09	4	2.93932530e-03	5.87325660e-09	6	false	DILUPBiCGStab	2.06191310e-03	9.18203980e-09	3	true	GAMG	2.37198460e-03	2.20090020e-04	2	true
76              	DILUPBiCGStab	4.10882940e-04	7.38929330e-09	4	2.89625640e-03	3.97716870e-09	6	false	DILUPBiCGStab	2.06245800e-03	7.32227380e-09	3	true	GAMG	2.20193560e-03	2.18649660e-04	2	true
77              	DILUPBiCGStab	4.05176960e-04	6.93134870e-09	4	2.83368330e-03	9.62657530e-09	5	false	DILUPBiCGStab	2.06010410e-03	6.70644360e-09	3	true	GAMG	2.13592940e-03	8.94747440e-05	3	true
78              	DILUPBiCGStab	4.07394010e-04	6.57827880e-09	4	2.84511110e-03	8.73241530e-09	5	false	DILUPBiCGStab	2.06505420e-03	6.46645090e-09	3	true	GAMG	2.17880060e-03	1.80056720e-04	2	true
79              	DILUPBiCGStab	3.96772190e-04	6.08561210e-09	4	2.63974180e-03	7.87335800e-09	5	false	DILUPBiCGStab	2.06858810e-03	6.32404380e-09	3	true	GAMG	2.45818090e-03	1.96850740e-04	2	true
80              	DILUPBiCGStab	3.96934170e-04	5.60698070e-09	4	2.60589330e-03	7.02618440e-09	5	false	DILUPBiCGStab	2.07877870e-03	6.16454530e-09	3	true	GAMG	2.10073370e-03	1.94104720e-04	2	true
81              	DILUPBiCGStab	3.93610490e-04	5.16465920e-09	4	2.56566540e-03	6.66074510e-09	5	false	DILUPBiCGStab	2.08682470e-03	5.99047370e-09	3	true	GAMG	2.07492150e-03	1.89819370e-04	2	true
82              	DILUPBiCGStab	3.93865810e-04	4.83646620e-09	4	2.51591890e-03	6.77393430e-09	5	false	DILUPBiCGStab	2.10150840e-03	5.73978730e-09	3	true	GAMG	1.99372220e-03	1.83603200e-04	2	true
